 Timestamp,FIT101,LIT101,FIT201
 23/12/2015 12:00:00 AM,0,813.3956,1.913562
 23/12/2015 12:00:01 AM,0,813.0424,2.148848
 23/12/2015 12:00:02 AM,0,813.0424,2.280844
 23/12/2015 12:00:03 AM,0,813.0031,2.368629
 23/12/2015 12:00:04 AM,0,812.7283,2.424375
 23/12/2015 12:00:05 AM,0,812.5714,2.45244
 23/12/2015 12:00:06 AM,0,811.8256,2.472175
 23/12/2015 12:00:07 AM,0,811.8648,2.482683
 23/12/2015 12:00:08 AM,0,811.8256,2.482683
 23/12/2015 12:00:09 AM,0,811.3937,2.484093
 23/12/2015 12:00:10 AM,0,810.6087,2.484734
 23/12/2015 12:00:11 AM,0,810.0199,2.484734
 23/12/2015 12:00:12 AM,0,809.8629,2.484734
 23/12/2015 12:00:13 AM,0,809.2349,2.484734
 23/12/2015 12:00:14 AM,0,808.5283,2.485631
 23/12/2015 12:00:15 AM,0,808.0966,2.485631
 23/12/2015 12:00:16 AM,0,807.9395,2.485631
 23/12/2015 12:00:17 AM,0,807.5078,2.485631
 23/12/2015 12:00:18 AM,0,806.7227,2.485631
 23/12/2015 12:00:19 AM,0,806.2909,2.485631
 23/12/2015 12:00:20 AM,0,805.7021,2.485631
 23/12/2015 12:00:21 AM,0,804.8778,2.485631
 23/12/2015 12:00:22 AM,0,804.3675,2.485631
 23/12/2015 12:00:23 AM,0,804.0142,2.485247
 23/12/2015 12:00:24 AM,0,803.504,2.484606
 23/12/2015 12:00:25 AM,0,803.1507,2.484606
 23/12/2015 12:00:26 AM,0,802.6011,2.484606
 23/12/2015 12:00:27 AM,0,802.0123,2.484606
 23/12/2015 12:00:28 AM,0,801.2665,2.484606
 23/12/2015 12:00:29 AM,0,800.4423,2.484606
 23/12/2015 12:00:30 AM,0,799.8142,2.484606
 23/12/2015 12:00:31 AM,0,799.6179,2.484606
 23/12/2015 12:00:32 AM,0,799.0291,2.485631
 23/12/2015 12:00:33 AM,0,798.5189,2.485631
